language,emoji
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
makefile,:gun:
php,:gun:
javascript,:gun:
javascript,:hap:
clojure,:imp:
clojure,:imp:
css,:imp:
javascript,:joy:
java,:joy:
ruby,:joy:
javascript,:joy:
javascript,:metal:
shell,:key:
html,:key:
shell,:key:
php,:key:
php,:mag:
php,:mag:
python,:mag:
php,:mag:
php,:mag:
coffeescript,:mag:
ruby,:mag:
python,:mag:
javascript,:man:
python,:car:
python,:tada:
javascript,:new:
c#,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
coffeescript,:new:
coffeescript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
php,:new:
javascript,:new:
javascript,:new:
javascript,:new:
c++,:new:
elm,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
python,:new:
javascript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
hack,:new:
hack,:new:
hack,:new:
hack,:new:
hack,:new:
javascript,:new:
javascript,:new:
python,:new:
java,:new:
go,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
hack,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
javascript,:new:
coffeescript,:new:
coffeescript,:new:
coffeescript,:new:
jsoniq,:new:
javascript,:bug:
javascript,:wrench:
javascript,:zap:
php,:up:
elm,:new:
php,:one:
php,:one:
python,:pep:
javascript,:ram:
javascript,:rat:
html,:rat:
python,:ref:
c,:ref:
python,:ref:
javascript,:sob:
javascript,:sob:
javascript,:tad:
python,:tea:
coffeescript,:two:
ruby,:yay:
clojure,:yum:
clojure,:yum:
makefile,:yum:
java,:zap:
java,:zap:
java,:zap:
java,:zap:
javascript,:zap:
c++,:zap:
css,:zap:
java,:zap:
javascript,:zap:
javascript,:zap:
shell,:zap:
python,:zap:
objective-c,:zap:
javascript,:zap:
javascript,:zap:
c#,:zap:
javascript,:zap:
javascript,:zap:
shell,:zap:
html,:zap:
javascript,:art:
c++,:zzz:
swift,:zzz:
python,:zzz:
html,:zzz:
clojure,:zzz:
ruby,:GRIN:
python,:HINT:
python,:Note:
python,:TODO:
python,:TODO:
javascript,:baby:
ruby,:baby:
actionscript,:baby:
java,:baby:
javascript,:bath:
ruby,:bear:
javascript,:beer:
javascript,:beer:
viml,:beer:
javascript,:beer:
coffeescript,:beer:
php,:beer:
c#,:beer:
python,:bell:
javascript,:bird:
javascript,:boar:
javascript,:boar:
ruby,:boat:
javascript,:bomb:
coffeescript,:bomb:
ruby,:bomb:
python,:bomb:
javascript,:bomb:
javascript,:bomb:
php,:bomb:
coffeescript,:bomb:
ruby,:boom:
assembly,:bomb:
assembly,:boom:
coffeescript,:bomb:
coffeescript,:bomb:
cmake,:book:
javascript,:book:
javascript,:book:
javascript,:book:
python,:book:
python,:book:
c++,:book:
python,:book:
python,:book:
javascript,:book:
javascript,:book:
javascript,:book:
javascript,:boom:
javascript,:boom:
html,:boom:
c,:boom:
css,:boom:
javascript,:boom:
go,:boom:
c#,:boom:
ruby,:boom:
ruby,:boom:
python,:boom:
javascript,:boom:
ruby,:boom:
lua,:boom:
css,:boom:
php,:boom:
javascript,:boom:
javascript,:boom:
javascript,:boom:
coffeescript,:boom:
javascript,:boom:
javascript,:boom:
css,:boom:
tex,:boom:
tex,:boom:
html,:boom:
javascript,:boom:
ruby,:boom:
java,:boom:
html,:boom:
javascript,:boom:
html,:boom:
html,:boom:
r,:boom:
ruby,:boom:
coffeescript,:sparkles:
javascript,:bulb:
html,:bulb:
html,:bulb:
javascript,:bulb:
javascript,:bulb:
shell,:cake:
css,:cake:
javascript,:clap:
javascript,:clap:
fortran,:clap:
ruby,:clap:
ruby,:clap:
javascript,:clap:
javascript,:clap:
r,:clap:
c#,:dart:
javascript,:dash:
css,:dash:
shell,:dash:
c#,:dash:
css,:date:
javascript,:eyes:
javascript,:fail:
css,:feet:
ruby,:feet:
python,:file:
html,:file:
coffeescript,:fire:
coffeescript,:fire:
c++,:fire:
coffeescript,:fire:
coffeescript,:fire:
coffeescript,:fire:
javascript,:fire:
javascript,:fire:
javascript,:fire:
javascript,:fire:
javascript,:fire:
html,:fire:
javascript,:fire:
javascript,:fire:
javascript,:fire:
coffeescript,:fire:
typescript,:fire:
javascript,:fire:
clojure,:fire:
java,:fire:
php,:fire:
viml,:fire:
javascript,:fire:
swift,:fire:
javascript,:fire:
php,:fire:
jsoniq,:fire:
coffeescript,:fire:
viml,:fire:
coffeescript,:fire:
coffeescript,:fire:
javascript,:fire:
coffeescript,:fire:
coffeescript,:fire:
javascript,:fire:
php,:fire:
coffeescript,:fire:
coffeescript,:fire:
javascript,:fire:
go,:fire:
